sheet_name,severity,type,message,row_index,column_index,legacy_label,display_label,reading_date_raw,count
Genesis,medium,row-with-no-readings,Electricity row has no captured reading values.,86,,Com 5,,,
Genesis,medium,row-with-no-readings,Electricity row has no captured reading values.,87,,Com 6,,,
Genesis,medium,row-with-no-readings,Electricity row has no captured reading values.,90,,Com 9,,,
Genesis,medium,row-with-no-readings,Electricity row has no captured reading values.,91,,Com 10,,,
Genesis,medium,row-with-no-readings,Electricity row has no captured reading values.,92,,Com 11,,,
Bonifay Court,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,42,,Com Storeroom,,,1
Bonifay Court,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,43,,Com Staff Room 1 (Willie),,,1
Bonifay Court,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,44,,Com Staff Room 2 (unit 16),,,1
Bonifay Court,medium,row-with-no-readings,Electricity row has no captured reading values.,45,,Bulk 1,,,
Granistar Heights,medium,row-with-no-readings,Electricity row has no captured reading values.,26,,GH 09,,,
Granistar Heights,medium,row-with-no-readings,Electricity row has no captured reading values.,27,,GH 10,,,
Granistar Heights,medium,row-with-no-readings,Electricity row has no captured reading values.,28,,GH 11,,,
Mang Court,medium,row-with-no-readings,Electricity row has no captured reading values.,18,,MC 01,,,
Mang Court,medium,row-with-no-readings,Electricity row has no captured reading values.,19,,MC 02,,,
Mang Court,medium,row-with-no-readings,Electricity row has no captured reading values.,20,,MC 03,,,
Mang Court,medium,row-with-no-readings,Electricity row has no captured reading values.,21,,MC 04,,,
Mang Court,medium,row-with-no-readings,Electricity row has no captured reading values.,22,,MC 05,,,
Mang Court,medium,row-with-no-readings,Electricity row has no captured reading values.,23,,MC 06,,,
Mang Court,medium,row-with-no-readings,Electricity row has no captured reading values.,24,,Bulk 1,,,
Akasia,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,18,,AK 01 / FL 16,,,1
Akasia,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,19,,AK 02 / FL 15,,,1
Akasia,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,20,,AK 03 / FL 14,,,1
Akasia,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,21,,AK 04 / FL 13,,,1
Akasia,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,22,,AK 05 / FL 12,,,1
Akasia,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,23,,AK 06 / FL 11,,,1
Akasia,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,24,,AK 07 / FL 116,,,1
Akasia,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,25,,AK 08 / FL 117,,,1
Akasia,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,26,,AK 09 / FL 118,,,1
Akasia,medium,non-numeric-reading-values,Electricity row contains non-numeric reading content that could not be resolved.,27,,AK 10 / FL 119,,,1
