"building_name","relative_path","extension","size_kb","utility_type","relevance_category","import_priority"
"Akasia","Akasia/COUNCIL-UTILITIES/AK - Electricity BC vs Council.xlsx",".xlsx","41,22","electricity","billing-workbook","high"
"Akasia","Akasia/COUNCIL-UTILITIES/AK - Electricity Disconnection Notice Account 11105985 - 01.11.2023.jpg",".jpg","61,7","electricity","photo-evidence","high"
"Akasia","Akasia/COUNCIL-UTILITIES/AK - Water BC vs Council.xlsx",".xlsx","40,29","water_sanitation","billing-workbook","high"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2022 to Jun 2023/Apr 2023/AK - Electricity Water & Sanitation Apr 2023.pdf",".pdf","281,78","electricity","billing-pdf","medium"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2022 to Jun 2023/Jun 2023/AK - Elec, Water & Sanitation Jun 2023.pdf",".pdf","158,01","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2022 to Jun 2023/May 2023/AK - Electricity, Water & Sanitation May 2023.pdf",".pdf","157,96","electricity","billing-pdf","medium"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2023.07/AK - Elec, Water & Sanitation Jul 2023.pdf",".pdf","157,89","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2023.08/AK - Elec, Water and Sanitation Aug 2023.pdf",".pdf","157,96","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2023.09/AK - Elec, Water & Sanitation POP 04.10.2023.pdf",".pdf","222,65","water_sanitation","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2023.09/AK - Elec, Water & Sanitation Sept 2023.pdf",".pdf","284,13","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2023.10/AK - Elec, Water & Sanitation Oct 2023.pdf",".pdf","158,37","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2023.10/AK - W&S POP 30.10.2023.pdf",".pdf","34,22","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2023.11/AK - Electricity, Water & Sanitation Nov 2023.pdf",".pdf","157,96","electricity","billing-pdf","medium"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2023.11/AK - Water & Sanitation POP 07.12.2023.pdf",".pdf","34,22","water_sanitation","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2023.12/AK - Elec POP 10.01.2024.pdf",".pdf","33,41","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2023.12/AK - Elec, Water & Sanitation Dec 2023.pdf",".pdf","158,79","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2023.12/AK - W&S POP 10.01.2024.pdf",".pdf","34,38","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.01/AK - Elec POP 06.02.2024.pdf",".pdf","33,24","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.01/AK - Elec, Water & Sanitation Jan 2024.pdf",".pdf","158,06","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.01/AK - W&S POP 06.02.2024.pdf",".pdf","34,22","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.02/AK - Elec POP 06.03.2024.pdf",".pdf","33,23","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.02/AK - Elec, Water & Sanitation 27.02.2024.pdf",".pdf","158,45","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.02/AK - Elec, Water & Sanitation Feb 2024.pdf",".pdf","158,06","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.02/AK - W&S POP 06.03.2024.pdf",".pdf","34,21","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.03/AKA - Elec POP 08.04.2024.pdf",".pdf","147,51","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.03/AKA - Elec, Water & Sanitation Mar 2024.pdf",".pdf","158,15","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.03/AKA - W&S POP 08.04.2024.pdf",".pdf","220,71","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.04/AKA - Elec, Water & Sanitation Apr 2024.pdf",".pdf","297,08","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.04/AKA - Electricity POP 21.05.2024.pdf",".pdf","37,36","electricity","billing-pdf","medium"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.04/AKA - W&S POP 21.05.2024.pdf",".pdf","37,46","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.05/AKA - Elec POP 10.06.2024.pdf",".pdf","37,63","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.05/AKA - Electricity, Water & Sanitation May 2024.pdf",".pdf","158","electricity","billing-pdf","medium"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.05/AKA - W&S POP 10.06.2024.pdf",".pdf","37,53","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.06/AKA - Elec, Water & Sanitation 2024.06.pdf",".pdf","280,48","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.06/AKA - Electricity POP 2024.07.12.pdf",".pdf","37,63","electricity","billing-pdf","medium"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2023 - Jun 2024/2024.06/AKA - W&S POP 2024.07.12.pdf",".pdf","37,52","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/AKA - Body Corporate Arrears & Request for Negotiation - 2024.10.pdf",".pdf","617,77","other","uncategorized","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/EMFULENI FNB BANK ACCOUNT - 50851624426.pdf",".pdf","203,58","other","uncategorized","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/Letter on Electricity Payments to Eskom_14April2025.pdf",".pdf","263,67","electricity","billing-pdf","medium"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.07/AKA - Elec, Water & Sanitation 2024.07.pdf",".pdf","299,19","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.07/AKA - W&S POP 12.08.2024",".2024","37,37","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.08/AKA - Elec POP 09.09.2024",".2024","187,46","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.08/AKA - Elec, Water & Sanitation 2024.08.pdf",".pdf","158,43","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.09/AKA - Elec POP 2024.10.10.pdf",".pdf","187,37","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.09/AKA - Elec, Water & Sanitation 2024.09.pdf",".pdf","158,09","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.10/AKA - Elec POP 12.11.2024.pdf",".pdf","187,11","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.10/AKA - Elec, Water & Sanitation 2024.10.pdf",".pdf","284,15","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.10/AKA - Water & Sanitation POP 12.11.2024.pdf",".pdf","197,69","water_sanitation","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.11/13 NOV 2024 DEBT RELIEF PROGRAM.pdf",".pdf","140,85","other","uncategorized","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.11/AKA - Elec POP 2024.12.09.pdf",".pdf","187,54","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.11/AKA - Elec, Water & Sanitation 2024.11.pdf",".pdf","317,27","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2024.12/AKA - Elec, Water & Sanitation 2024.12.pdf",".pdf","276,18","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2025.01/AKA - Elec POP 2025.02.14.pdf",".pdf","187,47","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2025.01/AKA - Elec, Water & Sanitation 2025.01.pdf",".pdf","287,77","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2025.01/AKA - W&S POP 2025.02.14.pdf",".pdf","198,26","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2025.02/AKA - Elec, Water & Sanitation 2025.02.pdf",".pdf","158,19","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2025.02/AKA - Eskom POP 2025.03.20.pdf",".pdf","37,54","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2025.03/AKA - Elec, Water & Sanitation 2025.03.pdf",".pdf","286,9","water_sanitation","non-electric-utility","low"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2025.03/AKA - Eskom POP 2025.04.11.pdf",".pdf","186,9","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2025.03/AKA - W&S POP 2025.04.11.pdf",".pdf","197,25","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2025.04/AKA - Elec POP 09.05.2025.pdf",".pdf","190,41","other","admin-correspondence","review"
"Akasia","Akasia/COUNCIL-UTILITIES/Jul 2024 - Jun 2025/2025.04/AKA - Elec, Water & Sanitation 2024.04.pdf",".pdf","286,96","water_sanitation","non-electric-utility","low"
