meter_id,scheme_name,service_type,meter_number,meter_role,unit_number,location_description,parent_meter_id,hierarchy_level,reconciliation_group,is_active,start_date,end_date,source_confidence,verified_by,notes,source_reference
meter-azores-unit-az-01a,Azores,electricity,AZ 01A,unit,AZ 01A,AZ 01A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 01A
meter-azores-unit-az-02,Azores,electricity,AZ 02,unit,AZ 02,AZ 02,,1,scheme-azores,True,,,medium,,,The Azores:AZ 02
meter-azores-unit-az-03,Azores,electricity,AZ 03,unit,AZ 03,AZ 03,,1,scheme-azores,True,,,medium,,,The Azores:AZ 03
meter-azores-unit-az-04,Azores,electricity,AZ 04,unit,AZ 04,AZ 04,,1,scheme-azores,True,,,medium,,,The Azores:AZ 04
meter-azores-unit-az-05b,Azores,electricity,AZ 05B,unit,AZ 05B,AZ 05B,,1,scheme-azores,True,,,medium,,,The Azores:AZ 05B
meter-azores-unit-az-06a,Azores,electricity,AZ 06A,unit,AZ 06A,AZ 06A,,1,scheme-azores,True,,,medium,,,The Azores:AZ 06A
meter-azores-unit-az-07,Azores,electricity,AZ 07,unit,AZ 07,AZ 07,,1,scheme-azores,True,,,medium,,,The Azores:AZ 07
meter-azores-unit-az-08,Azores,electricity,AZ 08,unit,AZ 08,AZ 08,,1,scheme-azores,True,,,medium,,,The Azores:AZ 08
meter-azores-unit-az-09,Azores,electricity,AZ 09,unit,AZ 09,AZ 09,,1,scheme-azores,True,,,medium,,,The Azores:AZ 09
meter-azores-unit-az-10,Azores,electricity,AZ 10,unit,AZ 10,AZ 10,,1,scheme-azores,True,,,medium,,,The Azores:AZ 10
meter-azores-unit-az-11,Azores,electricity,AZ 11,unit,AZ 11,AZ 11,,1,scheme-azores,True,,,medium,,,The Azores:AZ 11
meter-azores-unit-az-12,Azores,electricity,AZ 12,unit,AZ 12,AZ 12,,1,scheme-azores,True,,,medium,,,The Azores:AZ 12
meter-azores-unit-az-13,Azores,electricity,AZ 13,unit,AZ 13,AZ 13,,1,scheme-azores,True,,,medium,,,The Azores:AZ 13
