scheme_name,source_sheet,legacy_label,meter_type,reading_label,reading_date_note,reading_value,previous_reading_value,consumption
VILLINO GLEN,Vilino Glen,VG 01,UNIT,2023-11-21 00:00:00,unparseable-date,5471.0,5226.0,245.0
VILLINO GLEN,Vilino Glen,VG 02,UNIT,2023-11-21 00:00:00,unparseable-date,9087.0,8667.0,420.0
VILLINO GLEN,Vilino Glen,VG 03,UNIT,2023-11-21 00:00:00,unparseable-date,5808.0,5643.0,165.0
VILLINO GLEN,Vilino Glen,VG 04,UNIT,2023-11-21 00:00:00,unparseable-date,6404.0,6161.0,243.0
VILLINO GLEN,Vilino Glen,VG 05,UNIT,2023-11-21 00:00:00,unparseable-date,5260.0,5032.0,228.0
VILLINO GLEN,Vilino Glen,VG 06,UNIT,2023-11-21 00:00:00,unparseable-date,4545.0,4323.0,222.0
VILLINO GLEN,Vilino Glen,VG 07,UNIT,2023-11-21 00:00:00,unparseable-date,6773.0,6502.0,271.0
VILLINO GLEN,Vilino Glen,VG 08A,UNIT,2023-11-21 00:00:00,unparseable-date,4410.0,4257.0,153.0
VILLINO GLEN,Vilino Glen,VG 09,UNIT,2023-11-21 00:00:00,unparseable-date,7870.0,7469.0,401.0
VILLINO GLEN,Vilino Glen,VG 10,UNIT,2023-11-21 00:00:00,unparseable-date,5518.0,5319.0,199.0
VILLINO GLEN,Vilino Glen,VG 11,UNIT,2023-11-21 00:00:00,unparseable-date,4527.0,4121.0,406.0
VILLINO GLEN,Vilino Glen,VG 12,UNIT,2023-11-21 00:00:00,unparseable-date,8219.0,8218.0,1.0
VILLINO GLEN,Vilino Glen,VG 13,UNIT,2023-11-21 00:00:00,unparseable-date,7082.0,6812.0,270.0
VILLINO GLEN,Vilino Glen,VG 14A,UNIT,2023-11-21 00:00:00,unparseable-date,8430.0,8180.0,250.0
VILLINO GLEN,Vilino Glen,VG 15,UNIT,2023-11-21 00:00:00,unparseable-date,11991.0,11517.0,474.0
VILLINO GLEN,Vilino Glen,VG 16,UNIT,2023-11-21 00:00:00,unparseable-date,5367.0,5215.0,152.0
VILLINO GLEN,Vilino Glen,VG 17,UNIT,2023-11-21 00:00:00,unparseable-date,2262.0,2189.0,73.0
VILLINO GLEN,Vilino Glen,VG 18,UNIT,2023-11-21 00:00:00,unparseable-date,7178.0,6731.0,447.0
VILLINO GLEN,Vilino Glen,VG 19 A,UNIT,2023-11-21 00:00:00,unparseable-date,3020.0,2822.0,198.0
VILLINO GLEN,Vilino Glen,VG 20A,UNIT,2023-11-21 00:00:00,unparseable-date,4421.0,4403.0,18.0
VILLINO GLEN,Vilino Glen,VG 21,UNIT,2023-11-21 00:00:00,unparseable-date,3925.0,3925.0,0.0
VILLINO GLEN,Vilino Glen,VG 22,UNIT,2023-11-21 00:00:00,unparseable-date,13436.0,13144.0,292.0
VILLINO GLEN,Vilino Glen,VG 23,UNIT,2023-11-21 00:00:00,unparseable-date,2692.0,2578.0,114.0
VILLINO GLEN,Vilino Glen,VG 24,UNIT,2023-11-21 00:00:00,unparseable-date,8268.0,7911.0,357.0
VILLINO GLEN,Vilino Glen,VG 25,UNIT,2023-11-21 00:00:00,unparseable-date,7463.0,7215.0,248.0
VILLINO GLEN,Vilino Glen,VG 26,UNIT,2023-11-21 00:00:00,unparseable-date,6553.0,6458.0,95.0
VILLINO GLEN,Vilino Glen,VG 27,UNIT,2023-11-21 00:00:00,unparseable-date,5423.0,5218.0,205.0
VILLINO GLEN,Vilino Glen,VG 28,UNIT,2023-11-21 00:00:00,unparseable-date,4412.0,4277.0,135.0
VILLINO GLEN,Vilino Glen,VG 29,UNIT,2023-11-21 00:00:00,unparseable-date,8450.0,8078.0,372.0
VILLINO GLEN,Vilino Glen,VG 30,UNIT,2023-11-21 00:00:00,unparseable-date,3339.0,3209.0,130.0
VILLINO GLEN,Vilino Glen,VG 31,UNIT,2023-11-21 00:00:00,unparseable-date,3036.0,2916.0,120.0
VILLINO GLEN,Vilino Glen,VG 32,UNIT,2023-11-21 00:00:00,unparseable-date,6751.0,6465.0,286.0
VILLINO GLEN,Vilino Glen,VG 33,UNIT,2023-11-21 00:00:00,unparseable-date,9695.0,9210.0,485.0
VILLINO GLEN,Vilino Glen,VG 34,UNIT,2023-11-21 00:00:00,unparseable-date,9191.0,9004.0,187.0
