"scheme_name","source_sheet","unit_label","meter_label","linked_unit_label","meter_type","provisional_meter_key","prepaid","pq_factor","latest_reading_date","latest_reading"
"The Azores","The Azores","AZ 01A","AZ 01A","AZ 01A","UNIT","AZ_01A","","1,2406","2026/03/03","26859"
"The Azores","The Azores","AZ 02","AZ 02","AZ 02","UNIT","AZ_02","","1,2406","2026/03/03","21910"
"The Azores","The Azores","AZ 03","AZ 03","AZ 03","UNIT","AZ_03","","1,2406","2026/03/03","63925"
"The Azores","The Azores","AZ 04","AZ 04","AZ 04","UNIT","AZ_04","","1,2406","2026/03/03","97179"
"The Azores","The Azores","AZ 05B","AZ 05B","AZ 05B","UNIT","AZ_05B","","1,2406","2026/03/03","60252"
"The Azores","The Azores","AZ 06A","AZ 06A","AZ 06A","UNIT","AZ_06A","","1,2231","2026/03/03","10429"
"The Azores","The Azores","AZ 07","AZ 07","AZ 07","UNIT","AZ_07","","1,2406","2026/03/03","45292"
"The Azores","The Azores","AZ 08","AZ 08","AZ 08","UNIT","AZ_08","","1,2231","2026/03/03","82697"
"The Azores","The Azores","AZ 09","AZ 09","AZ 09","UNIT","AZ_09","","1,2406","2026/03/03","89001"
"The Azores","The Azores","AZ 10","AZ 10","AZ 10","UNIT","AZ_10","","1,2406","2026/03/03","67830"
"The Azores","The Azores","AZ 11","AZ 11","AZ 11","UNIT","AZ_11","","1,2406","2026/03/03","33738"
"The Azores","The Azores","AZ 12","AZ 12","AZ 12","UNIT","AZ_12","","1,2406","2026/03/03","1898"
"The Azores","The Azores","AZ 13","AZ 13","AZ 13","UNIT","AZ_13","","1,2406","2026/03/03","94977"
"The Azores","The Azores","AZ 14","AZ 14","AZ 14","UNIT","AZ_14","","1,2406","2026/03/03","87283"
"The Azores","The Azores","AZ 15A","AZ 15A","AZ 15A","UNIT","AZ_15A","","1,2406","2026/03/03","41128"
"The Azores","The Azores","AZ 16A","AZ 16A","AZ 16A","UNIT","AZ_16A","","1,2406","2026/03/03","88770"
"The Azores","The Azores","AZ 17","AZ 17","AZ 17","UNIT","AZ_17","","1,2231","2026/03/03","40156"
"The Azores","The Azores","AZ 18","AZ 18","AZ 18","UNIT","AZ_18","","1,2406","2026/03/03","26483"
"The Azores","The Azores","AZ 19A","AZ 19A","AZ 19A","UNIT","AZ_19A","","1,2231","2026/03/03","90785"
"The Azores","The Azores","AZ 20","AZ 20","AZ 20","UNIT","AZ_20","","1,2406","2026/03/03","39020"
"The Azores","The Azores","AZ 21","AZ 21","AZ 21","UNIT","AZ_21","","1,2406","2026/03/03","54028"
"The Azores","The Azores","AZ 22","AZ 22","AZ 22","UNIT","AZ_22","","1,2406","2026/03/03","40882"
"The Azores","The Azores","AZ 23","AZ 23","AZ 23","UNIT","AZ_23","","1,2406","2026/03/03","41774"
"The Azores","The Azores","AZ 24","AZ 24","AZ 24","UNIT","AZ_24","","1,2406","2026/03/03","47386"
