"scheme_name","source_sheet","meter_label","linked_unit_label","meter_type","provisional_meter_key","prepaid","pq_factor","latest_reading","latest_reading_date","history_points"
"The Azores","The Azores","AZ 01A","AZ 01A","UNIT","AZ_01A","","1,2406","26859","2026/03/03","98"
"The Azores","The Azores","AZ 02","AZ 02","UNIT","AZ_02","","1,2406","21910","2026/03/03","98"
"The Azores","The Azores","AZ 03","AZ 03","UNIT","AZ_03","","1,2406","63925","2026/03/03","98"
"The Azores","The Azores","AZ 04","AZ 04","UNIT","AZ_04","","1,2406","97179","2026/03/03","98"
"The Azores","The Azores","AZ 05B","AZ 05B","UNIT","AZ_05B","","1,2406","60252","2026/03/03","98"
"The Azores","The Azores","AZ 06A","AZ 06A","UNIT","AZ_06A","","1,2231","10429","2026/03/03","98"
"The Azores","The Azores","AZ 07","AZ 07","UNIT","AZ_07","","1,2406","45292","2026/03/03","98"
"The Azores","The Azores","AZ 08","AZ 08","UNIT","AZ_08","","1,2231","82697","2026/03/03","98"
"The Azores","The Azores","AZ 09","AZ 09","UNIT","AZ_09","","1,2406","89001","2026/03/03","98"
"The Azores","The Azores","AZ 10","AZ 10","UNIT","AZ_10","","1,2406","67830","2026/03/03","98"
"The Azores","The Azores","AZ 11","AZ 11","UNIT","AZ_11","","1,2406","33738","2026/03/03","98"
"The Azores","The Azores","AZ 12","AZ 12","UNIT","AZ_12","","1,2406","1898","2026/03/03","98"
"The Azores","The Azores","AZ 13","AZ 13","UNIT","AZ_13","","1,2406","94977","2026/03/03","98"
"The Azores","The Azores","AZ 14","AZ 14","UNIT","AZ_14","","1,2406","87283","2026/03/03","98"
"The Azores","The Azores","AZ 15A","AZ 15A","UNIT","AZ_15A","","1,2406","41128","2026/03/03","98"
"The Azores","The Azores","AZ 16A","AZ 16A","UNIT","AZ_16A","","1,2406","88770","2026/03/03","98"
"The Azores","The Azores","AZ 17","AZ 17","UNIT","AZ_17","","1,2231","40156","2026/03/03","98"
"The Azores","The Azores","AZ 18","AZ 18","UNIT","AZ_18","","1,2406","26483","2026/03/03","98"
"The Azores","The Azores","AZ 19A","AZ 19A","UNIT","AZ_19A","","1,2231","90785","2026/03/03","98"
"The Azores","The Azores","AZ 20","AZ 20","UNIT","AZ_20","","1,2406","39020","2026/03/03","98"
"The Azores","The Azores","AZ 21","AZ 21","UNIT","AZ_21","","1,2406","54028","2026/03/03","98"
"The Azores","The Azores","AZ 22","AZ 22","UNIT","AZ_22","","1,2406","40882","2026/03/03","98"
"The Azores","The Azores","AZ 23","AZ 23","UNIT","AZ_23","","1,2406","41774","2026/03/03","98"
"The Azores","The Azores","AZ 24","AZ 24","UNIT","AZ_24","","1,2406","47386","2026/03/03","98"
"The Azores","The Azores","AZ 25","AZ 25","UNIT","AZ_25","","1,7124","25095","2026/03/03","98"
"The Azores","The Azores","AZ 26A","AZ 26A","UNIT","AZ_26A","","1,6774","6016","2026/03/03","98"
"The Azores","The Azores","AZ 27","AZ 27","UNIT","AZ_27","","1,2406","71161","2026/03/03","98"
"The Azores","The Azores","AZ 28","AZ 28","UNIT","AZ_28","","1,2406","14611","2026/03/03","98"
"The Azores","The Azores","AZ 29A","AZ 29A","UNIT","AZ_29A","","1,2406","59201","2026/03/03","98"
"The Azores","The Azores","AZ 30A","AZ 30A","UNIT","AZ_30A","","1,2406","14408","2026/03/03","98"
"The Azores","The Azores","AZ 31","AZ 31","UNIT","AZ_31","","1,6425","86762","2026/03/03","98"
"The Azores","The Azores","AZ 32A","AZ 32A","UNIT","AZ_32A","","1,2581","12511","2026/03/03","98"
"The Azores","The Azores","AZ 33","AZ 33","UNIT","AZ_33","","1,6425","916","2026/03/03","98"
"The Azores","The Azores","AZ 34","AZ 34","UNIT","AZ_34","","1,2581","28812","2026/03/03","98"
"The Azores","The Azores","AZ 35A","AZ 35A","UNIT","AZ_35A","","1,6774","20710","2026/03/03","98"
"The Azores","The Azores","AZ 36A","AZ 36A","UNIT","AZ_36A","","1,6774","56773","2026/03/03","98"
"The Azores","The Azores","AZ 37 A","AZ 37 A","UNIT","AZ_37_A","","1,6774","1452","2026/03/03","98"
"The Azores","The Azores","AZ 38","AZ 38","UNIT","AZ_38","","1,6774","47866","2026/03/03","98"
"The Azores","The Azores","AZ 39","AZ 39","UNIT","AZ_39","","1,6425","63125","2026/03/03","98"
"The Azores","The Azores","AZ 40","AZ 40","UNIT","AZ_40","","1,66","51813","2026/03/03","98"
"The Azores","The Azores","AZ 41A","AZ 41A","UNIT","AZ_41A","","1,6425","4296","2026/03/03","98"
"The Azores","The Azores","AZ 42A","AZ 42A","UNIT","AZ_42A","","1,66","63977","2026/03/03","98"
"The Azores","The Azores","AZ 43","AZ 43","UNIT","AZ_43","","1,6774","69","2026/03/03","98"
"The Azores","The Azores","AZ 44","AZ 44","UNIT","AZ_44","","1,2756","58768","2026/03/03","98"
"The Azores","The Azores","AZ 45","AZ 45","UNIT","AZ_45","","1,6774","45989","2026/03/03","98"
"The Azores","The Azores","AZ 46","AZ 46","UNIT","AZ_46","","1,2756","52438","2026/03/03","98"
"The Azores","The Azores","AZ 47","AZ 47","UNIT","AZ_47","","2,2715","92541","2026/03/03","98"
"The Azores","The Azores","AZ 48","AZ 48","UNIT","AZ_48","","1,6949","69302","2026/03/03","98"
"The Azores","The Azores","AZ 49","AZ 49","UNIT","AZ_49","","1,2406","70361","2026/03/03","98"
"The Azores","The Azores","AZ 50","AZ 50","UNIT","AZ_50","","1,6425","64746","2026/03/03","98"
"The Azores","The Azores","AZ 51","AZ 51","UNIT","AZ_51","","1,2406","53196","2026/03/03","98"
"The Azores","The Azores","AZ 52","AZ 52","UNIT","AZ_52","","1,6425","70096","2026/03/03","98"
"The Azores","The Azores","AZ 53","AZ 53","UNIT","AZ_53","","1,2406","72681","2026/03/03","98"
"The Azores","The Azores","AZ 54","AZ 54","UNIT","AZ_54","","1,625","68206","2026/03/03","98"
"The Azores","The Azores","AZ 55","AZ 55","UNIT","AZ_55","","1,2406","36953","2026/03/03","98"
"The Azores","The Azores","AZ 56","AZ 56","UNIT","AZ_56","","1,625","30809","2026/03/03","98"
"The Azores","The Azores","AZ 57","AZ 57","UNIT","AZ_57","","1,2581","29317","2026/03/03","98"
"The Azores","The Azores","AZ 58","AZ 58","UNIT","AZ_58","","1,625","35330","2026/03/03","98"
"The Azores","The Azores","AZ 59","AZ 59","UNIT","AZ_59","","1,2581","82322","2026/03/03","98"
"The Azores","The Azores","AZ 60A","AZ 60A","UNIT","AZ_60A","","1,625","48845","2026/03/03","98"
"The Azores","The Azores","AZ 61","AZ 61","UNIT","AZ_61","","1,2406","10651","2026/03/03","98"
"The Azores","The Azores","AZ 62","AZ 62","UNIT","AZ_62","","1,6425","94746","2026/03/03","98"
"The Azores","The Azores","AZ 63A","AZ 63A","UNIT","AZ_63A","","1,2406","47799","2026/03/03","98"
"The Azores","The Azores","AZ 64","AZ 64","UNIT","AZ_64","","1,6425","72937","2026/03/03","98"
"The Azores","The Azores","AZ 65","AZ 65","UNIT","AZ_65","","1,2406","55022","2026/03/03","98"
"The Azores","The Azores","AZ 66","AZ 66","UNIT","AZ_66","","1,2406","30122","2026/03/03","98"
"The Azores","The Azores","AZ 67","AZ 67","UNIT","AZ_67","","1,2406","48986","2026/03/03","98"
"The Azores","The Azores","AZ 68","AZ 68","UNIT","AZ_68","","1,2406","10368","2026/03/03","98"
"The Azores","The Azores","AZ 69","AZ 69","UNIT","AZ_69","","1,2406","50128","2026/03/03","98"
"The Azores","The Azores","AZ 70","AZ 70","UNIT","AZ_70","","1,2406","46791","2026/03/03","98"
"The Azores","The Azores","AZ 71A","AZ 71A","UNIT","AZ_71A","","1,2406","20177","2026/03/03","98"
"The Azores","The Azores","AZ 72A","AZ 72A","UNIT","AZ_72A","","1,2406","7874","2026/03/03","98"
"The Azores","The Azores","Bulk 1",,"BULK","Bulk_1","",,"98060","2026/03/03","98"
"Genesis","Genesis","GEN 01","GEN 01","UNIT","GEN_01","","1,025817296","56699,3","02/03/2026","60"
"Genesis","Genesis","GEN 02","GEN 02","UNIT","GEN_02","","1,045487238","57589,5","02/03/2026","60"
"Genesis","Genesis","GEN 03","GEN 03","UNIT","GEN_03","","1,085025809","48947,5","02/03/2026","60"
"Genesis","Genesis","GEN 04","GEN 04","UNIT","GEN_04","","1,045487238","59724,4","02/03/2026","60"
"Genesis","Genesis","GEN 05","GEN 05","UNIT","GEN_05","","0,986278725","65984,3","02/03/2026","60"
"Genesis","Genesis","GEN 06","GEN 06","UNIT","GEN_06","","1,952887508","110071","02/03/2026","60"
"Genesis","Genesis","GEN 07","GEN 07","UNIT","GEN_07","","1,814800539","97579","02/03/2026","60"
"Genesis","Genesis","GEN 08","GEN 08","UNIT","GEN_08","","1,874009052","91507,3","02/03/2026","60"
"Genesis","Genesis","GEN 09","GEN 09","UNIT","GEN_09","","1,893678994","81823,1","02/03/2026","60"
"Genesis","Genesis","GEN 10","GEN 10","UNIT","GEN_10","","1,834470481","98788,5","02/03/2026","60"
"Genesis","Genesis","GEN 11","GEN 11","UNIT","GEN_11","","2,307939901","124098","02/03/2026","60"
"Genesis","Genesis","GEN 12","GEN 12","UNIT","GEN_12","","2,406686986","144649,3","02/03/2026","60"
"Genesis","Genesis","GEN 13","GEN 13","UNIT","GEN_13","","1,874009052","108547,2","02/03/2026","60"
"Genesis","Genesis","GEN 14","GEN 14","UNIT","GEN_14","","2,584113839","128535,8","02/03/2026","60"
"Genesis","Genesis","GEN 15","GEN 15","UNIT","GEN_15","","1,262452663","66254,9","02/03/2026","60"
"Genesis","Genesis","GEN 16","GEN 16","UNIT","GEN_16","","1,893678994","84289,8","02/03/2026","59"
"Genesis","Genesis","GEN 17","GEN 17","UNIT","GEN_17","","1,933217565","91374,9","02/03/2026","60"
"Genesis","Genesis","GEN 18","GEN 18","UNIT","GEN_18","","1,795130596","102548,7","02/03/2026","60"
"Genesis","Genesis","GEN 19","GEN 19","UNIT","GEN_19","","1,893678994","75622","02/03/2026","60"
"Genesis","Genesis","GEN 20","GEN 20","UNIT","GEN_20","","1,893678994","76914","02/03/2026","60"
"Genesis","Genesis","GEN 21","GEN 21","UNIT","GEN_21","","2,386818357","102480,9","02/03/2026","60"
"Genesis","Genesis","GEN 22","GEN 22","UNIT","GEN_22","","0,834283716","56426","02/03/2026","60"
"Genesis","Genesis","GEN 23","GEN 23","UNIT","GEN_23","","0,850178619","63315","02/03/2026","60"
"Genesis","Genesis","GEN 24","GEN 24","UNIT","GEN_24","","0,882365797","48889","02/03/2026","60"
"Genesis","Genesis","GEN 25","GEN 25","UNIT","GEN_25","","0,850178619","45975,2","02/03/2026","60"
"Genesis","Genesis","GEN 26","GEN 26","UNIT","GEN_26","","0,802096538","52698,2","02/03/2026","60"
"Genesis","Genesis","GEN 27","GEN 27","UNIT","GEN_27","","1,588298172","118576,1","02/03/2026","60"
"Genesis","Genesis","GEN 28","GEN 28","UNIT","GEN_28","","1,475841734","82423,9","02/03/2026","60"
"Genesis","Genesis","GEN 29","GEN 29","UNIT","GEN_29","","1,524122502","91559,4","02/03/2026","60"
"Genesis","Genesis","GEN 30","GEN 30","UNIT","GEN_30","","1,540017405","96841,9","02/03/2026","60"
"Genesis","Genesis","GEN 31","GEN 31","UNIT","GEN_31","","1,491935324","100781,8","02/03/2026","60"
"Genesis","Genesis","GEN 32","GEN 32","UNIT","GEN_32","","1,876989346","134981,9","02/03/2026","60"
"Genesis","Genesis","GEN 33","GEN 33","UNIT","GEN_33","","1,957258606","85620,5","02/03/2026","59"
"Genesis","Genesis","GEN 34","GEN 34","UNIT","GEN_34","","1,524122502","99157,1","02/03/2026","60"
"Genesis","Genesis","GEN 35","GEN 35","UNIT","GEN_35","","2,10150485","158697","02/03/2026","60"
"Genesis","Genesis","GEN 36","GEN 36","UNIT","GEN_36","","1,026810727","56867,3","02/03/2026","59"
"Genesis","Genesis","GEN 37","GEN 37","UNIT","GEN_37","","1,540017405","108107,6","02/03/2026","60"
"Genesis","Genesis","GEN 38","GEN 38","UNIT","GEN_38","","1,572204583","100250,7","02/03/2026","60"
"Genesis","Genesis","GEN 39","GEN 39","UNIT","GEN_39","","1,459946832","94802,7","02/03/2026","60"
"Genesis","Genesis","GEN 40","GEN 40","UNIT","GEN_40","","1,540017405","99695,4","02/03/2026","60"
"Genesis","Genesis","GEN 41","GEN 41","UNIT","GEN_41","","1,540017405","86562,3","02/03/2026","60"
"Genesis","Genesis","GEN 42","GEN 42","UNIT","GEN_42","","1,941165017","124821,3","02/03/2026","60"
"Genesis","Genesis","GEN 43","GEN 43","UNIT","GEN_43","","0,928262329","57407,1","02/03/2026","59"
"Genesis","Genesis","GEN 44","GEN 44","UNIT","GEN_44","","0,946144095","37955,5","02/03/2026","60"
"Genesis","Genesis","GEN 45","GEN 45","UNIT","GEN_45","","0,98170894","74892,3","02/03/2026","60"
"Genesis","Genesis","GEN 46","GEN 46","UNIT","GEN_46","","0,946144095","57855,7","02/03/2026","60"
"Genesis","Genesis","GEN 47","GEN 47","UNIT","GEN_47","","0,892498798","57142,5","02/03/2026","60"
"Genesis","Genesis","GEN 48","GEN 48","UNIT","GEN_48","","1,76711583","93805,3","02/03/2026","60"
"Genesis","Genesis","GEN 49","GEN 49","UNIT","GEN_49","","1,642142156","111140,3","02/03/2026","60"
"Genesis","Genesis","GEN 50","GEN 50","UNIT","GEN_50","","1,695787453","103371,6","02/03/2026","60"
"Genesis","Genesis","GEN 51","GEN 51","UNIT","GEN_51","","1,713669219","98527,4","02/03/2026","60"
"Genesis","Genesis","GEN 52","GEN 52","UNIT","GEN_52","","1,660023922","120357,8","02/03/2026","60"
"Genesis","Genesis","GEN 53","GEN 53","UNIT","GEN_53","","2,088590241","126857,1","02/03/2026","60"
"Genesis","Genesis","GEN 54","GEN 54","UNIT","GEN_54","","2,177800384","126314,1","02/03/2026","60"
"Genesis","Genesis","GEN 55","GEN 55","UNIT","GEN_55","","1,695787453","101313,4","02/03/2026","60"
"Genesis","Genesis","GEN 56","GEN 56","UNIT","GEN_56","","2,338338903","109867,6","02/03/2026","60"
"Genesis","Genesis","GEN 57","GEN 57","UNIT","GEN_57","","1,142446146","64032,2","02/03/2026","60"
"Genesis","Genesis","GEN 58","GEN 58","UNIT","GEN_58","","1,713669219","73139,5","02/03/2026","60"
"Genesis","Genesis","GEN 59","GEN 59","UNIT","GEN_59","","1,749432751","61290,9","02/03/2026","60"
"Genesis","Genesis","GEN 60","GEN 60","UNIT","GEN_60","","1,624459077","102149,5","02/03/2026","60"
